Requirement ID,Smell Type,Smell Sub-type,Completeness,Completeness-Reasons,Correctness,Correctness-Reasons
1,,,1,,1,
2,,,0,1.6,0,2.7
3,,,1,,1,
4,,,0,1.6,0,2.3.2
5,syntactic,vague_pronouns,0,"1.3, 1.3.1",0,2.3.2
6,,,1,,1,
7,,,0,1.6.1,1,
8,,,1,,1,
9,,,0,"1.3, 1.5, 1.6",1,
10,,,0,1.6,1,
11,syntactic,negative,0,"1.3, 1.6",0,2.3.2
12,,,0,1.6,1,
13,,,0,1.3.1,1,
14,,,0,1.3.1,1,
15,syntactic,passive_voice,1,,1,
16,syntactic,passive_voice,1,,1,
17,,,1,,0,2.3.2
18,,,1,,1,
19,,,1,,1,
Total,,,9,,14,
