Requirement ID,Smell Type,Smell Sub-type,Completeness,Completeness-Reasons,Correctness,Correctness-Reasons
1,,,1,,1,
2,,,1,,1,
3,,,1,,0,"2.3.2, 2.3.3, 2.5.3"
4,semantic,logical_inconsistencies,0,1.6.1,1,
5,semantic,numerical_discrepancies,1,,0,2.6.1
6,semantic,ambiguities,0,1.5.1,1,
7,lexical,subjective_language,0,1.4,1,
8,semantic,ambiguities,0,1.3.1,1,
9,syntactic,passive_voice,1,,0,2.3.2
10,syntactic,vague_pronouns,1,,0,2.3.2
11,,,1,,0,2.3.2
12,,,1,,0,2.3.2
13,lexical,weak_verbs,1,,1,
14,lexical,weak_verbs,0,1.6,0,2.3.1
15,,,0,"1.3, 1.5.1",0,2.3.2
16,lexical,subjective_language,0,1.6,0,2.3.2
Total,,,9,,7,
