Requirement ID,Smell Type,Smell Sub-type,Completeness,Completeness-Reasons,Correctness,Correctness-Reasons
1,,,0,"1.5, 1.3",1,
2,,,1,,0,2.3.2
3,,,0,1.3.1,1,
4,syntactic,negative,1,,1,
5,syntactic,passive_voice,1,,0,2.5.1
6,lexical,subjective_language,0,"1.3, 1.6.1",1,
7,syntactic,vague_pronouns,0,1.6.1,1,
8,lexical,weak_verbs,0,"1.5, 1.3",1,
9,semantic,ambiguities,0,1.3.1,1,
10,semantic,numerical_discrepancies,1,,0,2.3.1
11,semantic,ambiguities,0,1.5.3,1,
12,lexical,subjective_language,0,"1.3.1, 1.5.3",0,"2.5.1, 2.5.3"
13,lexical,optional_parts,0,1.3.1,0,"2.5.1, 2.5.3"
14,semantic,logical_inconsistencies,0,1.5.2,0,"2.3.1, 2.3.3"
Total,,,4,,8,
