"id","description",smell,"smell_type"
"4","The game is played with a deck of 40 cards, divided into four suits (Coins, Cups, Swords, Hearts, and Clubs).",logical_inconsistencies,"semantic"
"5","Every suit has 10 cards, from 1 to 12.",numerical_discrepancies,"semantic"
"6","The primary objective of Scopa is to reach a certain goal. The player who first reaches the limit wins the game.",ambiguities,"semantic"
"7","It could be fun to be able to play multiple round until reaching the winning score.",subjective_language,"lexical"
"8","The card deck gets shuffled. Then, each player receives some cards. Finally, four cards are placed on the table.",ambiguities,"semantic"
"9","In each turn of the game, a card must be selected from the player's hand.",passive_voice,"syntactic"
"10","If the value of the selected card during a player's turn matches the value of one card on the table, the player puts it on his discard pile.",vague_pronouns,"syntactic"
"11","If the value of the selected card during a player's turn matches the value of one card on the table, the matching cards are put on the player's discard pile.",passive_voice,"syntactic"
"12","If the selected card doesn't match any card on the table, the player must do something with the card anyway.",ambiguities,"semantic"
"13","When a player has no cards left on his hand, he could potentially receive three new cards from the deck.",weak_verbs,"lexical"
"14","Once all the cards have been distributed to the players, the round comes to an end. If there are any cards left on the table, the player who last drew cards could take them on his discard pile.",weak_verbs,"lexical"
"15","After the round has ended, all players tally up their points. If any player reaches the predetermined score, the game ends.",ambiguities,"semantic"
"16","At the end of each round, the players receive a reasonable amount of points for each of the following rules applied to the discard piles of each player: the player with the most cards, the player with the most coins cards, the player who has the seven of Coins, the player with the highest sum of their cards.",subjective_language,"lexical"
