Requirement ID,Smell Type,Smell Sub-type,Completeness,Completeness-Reasons,Correctness,Correctness-Reasons
1,,,1,,1,
2,,,1,,1,
3,,,1,,1,
4,,,0,1.6,0,2.7
5,,,0,1.3.1,0,2.3.2
6,semantic,ambiguities,0,1.6.1,1,
7,semantic,ambiguities,0,1.6.1,1,
8,,,1,,1,
9,semantic,numerical_discrepancies,1,,0,2.6.1
10,semantic,ambiguities,0,1.4,0,2.5.1
11,semantic,logical_inconsistencies,0,"1.3, 1.5",1,
12,,,0,1.6,0,2.5.3
13,,,0,"1.3, 1.5",1,
14,,,1,,0,2.3.2
15,semantic,ambiguities,0,"1.3, 1.5",0,2.7
16,,,0,"1.3, 1.6.1",1,
17,,,0,1.6.1,1,
18,,,0,1.6.1,1,
19,,,1,,1,
20,,,0,"1.3, 1.6.1",1,
Total,,,7,,13,
