Test,Metric,p-value,Significant,Cramer's V,Effect Size,% Zeros (Without),% Zeros (With),Difference,Impact,Interpretation
Has any smell,Correctness,5.9503910901987465e-08,Yes,0.2294589847014353,Small,21.9,44.6,22.700000000000003,Negative,Strong evidence (***) that Has any smell increases zeros by 22.7% (negative impact). Effect size: Small (0.229)
Has any smell,Completeness,3.943334759111405e-05,Yes,0.1740229784787631,Small,39.8,58.7,18.90000000000001,Negative,Strong evidence (***) that Has any smell increases zeros by 18.9% (negative impact). Effect size: Small (0.174)
Smell type: syntactic,Correctness,7.624567897761695e-06,Yes,0.2168369212279819,Small,21.9,51.9,30.0,Negative,Strong evidence (***) that Smell type: syntactic increases zeros by 30.0% (negative impact). Effect size: Small (0.217)
Smell type: lexical,Completeness,3.716267172966552e-05,Yes,0.1982082687405137,Small,39.8,69.5,29.700000000000003,Negative,Strong evidence (***) that Smell type: lexical increases zeros by 29.7% (negative impact). Effect size: Small (0.198)
Smell type: semantic,Correctness,0.0001557376538922,Yes,0.178870037315329,Small,21.9,43.8,21.9,Negative,Strong evidence (***) that Smell type: semantic increases zeros by 21.9% (negative impact). Effect size: Small (0.179)
Smell type: semantic,Completeness,0.0004266226693302,Yes,0.1666342003324097,Small,39.8,63.0,23.200000000000003,Negative,Strong evidence (***) that Smell type: semantic increases zeros by 23.2% (negative impact). Effect size: Small (0.167)
Smell type: lexical,Correctness,0.0074114497809964,Yes,0.1286853256239499,Small,21.9,39.0,17.1,Negative,Strong evidence (***) that Smell type: lexical increases zeros by 17.1% (negative impact). Effect size: Small (0.129)
Smell type: syntactic,Completeness,1.0,No,0.0,Negligible,39.8,40.4,0.6000000000000014,Negative,No statistically significant effect on completeness scores (p=1.000)
Subtype: ambiguities,Completeness,1.237680876375308e-06,Yes,0.2395001282868717,Small,39.8,83.3,43.5,Negative,Strong evidence (***) that Subtype: ambiguities increases zeros by 43.5% (negative impact). Effect size: Small (0.240)
Subtype: subjective_language,Completeness,7.365565669605534e-06,Yes,0.2222062006873897,Small,39.8,81.8,42.0,Negative,Strong evidence (***) that Subtype: subjective_language increases zeros by 42.0% (negative impact). Effect size: Small (0.222)
Subtype: numerical_discrepancies,Correctness,2.1570804332953843e-05,Yes,0.2159368851466541,Small,21.9,76.9,55.00000000000001,Negative,Strong evidence (***) that Subtype: numerical_discrepancies increases zeros by 55.0% (negative impact). Effect size: Small (0.216)
Subtype: negative,Correctness,6.212565743969046e-05,Yes,0.2027801966127587,Small,21.9,68.8,46.9,Negative,Strong evidence (***) that Subtype: negative increases zeros by 46.9% (negative impact). Effect size: Small (0.203)
Subtype: vague_pronouns,Correctness,7.630475150659074e-05,Yes,0.2008212151488003,Small,21.9,71.4,49.50000000000001,Negative,Strong evidence (***) that Subtype: vague_pronouns increases zeros by 49.5% (negative impact). Effect size: Small (0.201)
Subtype: logical_inconsistencies,Correctness,0.0008232909355191,Yes,0.1676618410308042,Small,21.9,54.2,32.300000000000004,Negative,Strong evidence (***) that Subtype: logical_inconsistencies increases zeros by 32.3% (negative impact). Effect size: Small (0.168)
Subtype: numerical_discrepancies,Completeness,0.0089990231513113,Yes,0.1327800603565341,Small,39.8,0.0,-39.8,Positive,Strong evidence (***) that Subtype: numerical_discrepancies decreases zeros by 39.8% (positive impact). Effect size: Small (0.133)
Subtype: logical_inconsistencies,Completeness,0.0176760871703195,Yes,0.1189143760087564,Small,39.8,66.7,26.90000000000001,Negative,Evidence (**) that Subtype: logical_inconsistencies increases zeros by 26.9% (negative impact). Effect size: Small (0.119)
Subtype: subjective_language,Correctness,0.0394488246633904,Yes,0.1020843509417845,Small,21.9,39.4,17.5,Negative,Evidence (**) that Subtype: subjective_language increases zeros by 17.5% (negative impact). Effect size: Small (0.102)
Subtype: weak_verbs,Completeness,0.0711457820909548,No,0.0914941052689016,Negligible,39.8,66.7,26.90000000000001,Negative,No statistically significant effect on completeness scores (p=0.071)
Subtype: optional_parts,Correctness,0.1406508907490582,No,0.0750899646927273,Negligible,21.9,45.5,23.6,Negative,No statistically significant effect on correctness scores (p=0.141)
Subtype: weak_verbs,Correctness,0.4692300735527691,No,0.0366946863553369,Negligible,21.9,33.3,11.4,Negative,No statistically significant effect on correctness scores (p=0.469)
Subtype: passive_voice,Completeness,0.4713487555763378,No,0.0361957470386913,Negligible,39.8,50.0,10.200000000000005,Negative,No statistically significant effect on completeness scores (p=0.471)
Subtype: negative,Completeness,0.6692482841221534,No,0.0216310961984372,Negligible,39.8,31.2,-8.599999999999998,Positive,No statistically significant effect on completeness scores (p=0.669)
Subtype: passive_voice,Correctness,0.7470911465242468,No,0.016205093088804,Negligible,21.9,27.3,5.400000000000002,Negative,No statistically significant effect on correctness scores (p=0.747)
Subtype: ambiguities,Correctness,0.8305004202772472,No,0.010571660238493,Negligible,21.9,25.0,3.1000000000000014,Negative,No statistically significant effect on correctness scores (p=0.831)
Subtype: vague_pronouns,Completeness,0.974832593618544,No,0.0016016018904673,Negligible,39.8,35.7,-4.099999999999994,Positive,No statistically significant effect on completeness scores (p=0.975)
Subtype: optional_parts,Completeness,1.0,No,0.0,Negligible,39.8,36.4,-3.3999999999999986,Positive,No statistically significant effect on completeness scores (p=1.000)
