Requirement ID,Smell Type,Smell Sub-type,Completeness,Completeness-Reasons,Correctness,Correctness-Reasons
1,,,0,1.4.1,1,
2,,,0,1.6,0,2.7
3,,,0,1.6.1,1,
4,,,0,1.6,0,2.3.2
5,,,0,"1.3, 1.6",0,2.3.2
6,semantic,ambiguities,1,,1,
7,,,1,,1,
8,semantic,numerical_discrepancies,1,,0,2.6.1
9,semantic,logical_inconsistencies,0,"1.3, 1.5, 1.6",1,
10,semantic,ambiguities,0,1.6,1,
11,,,0,"1.3, 1.6",0,2.3.2
12,,,0,1.6,1,
13,,,0,1.6,1,
14,semantic,logical_inconsistencies,0,1.6,1,
15,,,0,1.6.1,1,
16,,,1,,1,
17,semantic,logical_inconsistencies,1,,0,"2.5.1, 2.3.2"
18,,,1,,1,
19,semantic,ambiguities,0,"1.3, 1.3.1, 1.5",1,
Total,,,6,,13,
