Requirement ID,Smell Type,Smell Sub-type,Completeness,Completeness-Reasons,Correctness,Correctness-Reasons
1,,,1,,1,
2,,,0,1.6,0,2.7
3,,,1,,0,2.3.2
4,,,0,1.6,0,2.7
5,,,1,,0,2.3.2
6,semantic,ambiguities,0,1.6,0,2.7
7,semantic,ambiguities,0,1.6,0,2.7
8,syntactic,negative,0,1.3,0,2.7
9,semantic,numerical_discrepancies,0,1.6,0,2.7
10,semantic,ambiguities,0,1.4,0,2.5.1
11,semantic,logical_inconsistencies,1,,0,2.3.2
12,lexical,subjective_language,0,"1.3, 1.5",0,2.3.2
13,lexical,subjective_language,0,"1.3, 1.5",1,
14,syntactic,passive_voice,1,,1,
15,semantic,ambiguities,0,1.3,0,2.3.2
16,lexical,optional_parts,0,"1.3, 1.6",0,2.7
17,lexical,subjective_language,0,1.6,0,2.7
18,lexical,optional_parts,0,1.6,0,2.7
19,syntactic,vague_pronouns,1,,0,2.5.2
20,syntactic,passive_voice,0,1.3,0,2.7
Total,,,6,,3,
