Requirement ID,Smell Type,Smell Sub-type,Completeness,Completeness-Reasons,Correctness,Correctness-Reasons
1,,,0,"1.3, 1.5",0,2.7
2,,,1,,0,2.3.2
3,,,0,1.3.1,1,
4,,,1,,0,2.3.2
5,,,1,,1,
6,,,0,1.3,1,
7,,,0,"1.3, 1.6",1,
8,,,0,"1.3, 1.5",1,
9,semantic,ambiguities,0,1.3.1,0,2.3.2
10,semantic,numerical_discrepancies,1,,0,2.3.1
11,semantic,ambiguities,0,"1.3, 1.5",1,
12,,,0,"1.3, 1.5, 1.5.3",0,2.3.2
13,,,0,1.3.1,0,2.5.3
14,semantic,logical_inconsistencies,0,1.5,0,"2.3.1, 2.3.2"
Total,,,4,,6,
